"state","local","mean","q025","q05","q25","q50","q75","q95","q975"
"Kogi","Mopa-Muro",40492.2346,16986.5,19660.7,29095.5,36556,47284.75,72754.0499999999,85062.9
"Kogi","Ofu",161173.9098,68510.225,78538.2,116955.5,145859.5,187980.25,289157.6,337342.95
"Kogi","Ogori-Magongo",19590.8858,8264,9466.5,14108.25,17717,22850,35158.65,41472.1
"Kogi","Okehi",49835.537,33791.875,35659.5,42397,48150.5,55118.75,69326,76179.275
"Kogi","Okene",191612.6155,132592.825,141103.1,166625.75,186370,210837.75,257293.05,278326.675
"Kogi","Olamaboro",209983.6833,89140,102280,151415.5,189811,244799.75,376392.55,441851.125
"Kogi","Omala",96743.6379,41405.4,47247.15,70064.25,87472,112431.75,173032.2,202700.7
"Kogi","Yagba East",67100.3064,28036.85,32253.95,48039.25,60523.5,78299,120752.55,141594.6
"Kogi","Yagba West",56595.771,23965.725,27271.95,40500.5,51020.5,66155.25,101879.05,120271.575
"Kwara","Asa",136305.6814,84260.525,90287.75,111759.25,129507.5,152122.5,204181.4,229246.625
"Kwara","Baruten",267678.6119,113924.625,131035.7,193745.25,241895.5,311486.5,477701.05,561069.325
"Kwara","Edu",125798.2986,53505.025,61365.7,91120.75,113602,146380.75,225406.85,265433.425
"Kwara","Ekiti",32178.961,13436.925,15531.8,23082.75,29027,37631,57962.5,68442.725
"Kwara","Ifelodun",117189.7347,49769.4,56863,84543,105883.5,136541.5,210335.9,248392.375
"Kwara","Ilorin East",700643.2818,491852.1,520459.6,614884.5,684595,765085.75,928746.85,1009359.275
"Kwara","Ilorin South",62561.5689,38489,42357.55,52965.5,60718.5,69708.5,88869.7499999999,97715.55
"Kwara","Ilorin West",345260.7176,238476.825,253979,300970.25,337125,379074.5,462606.45,501063.025
"Kwara","Irepodun",104900.4311,43809.375,50714.05,75084.5,94766,122674.5,188931.7,221630.85
"Kwara","Isin",31856.3086,13415.75,15407.95,22883.25,28778.5,37231.5,57251.05,67414.75
"Kwara","Kaiama",196830.9889,83986.775,96165.25,142627,177884.5,229088.5,351094.15,414672.875
"Kwara","Moro",143596.2226,70194.875,78040.6,108203.5,131490,164772.25,243714.5,283845.75
"Kwara","Offa",126926.4981,85987.925,91862.9,109981.5,123566.5,140163.25,171978.85,186273.275
"Kwara","Oke Ero",33677.6618,14070.725,16285.75,24023,30354.5,39380.25,60791.4,71323.45
"Kwara","Oyun",88494.5817,59603.925,63156.9,75362.5,85484.5,97823.25,123092.95,135211.1
"Kwara","Pategi",77336.6459,33043,37773.55,55868.5,69882,90120.5,138222.7,163460.225
"Lagos","Agege",289449.7823,196861.6,209505.45,249154,281708,320460.75,395992.95,428440.9
"Lagos","Ajeromi-Ifelodun",314222.5886,183500.225,198570.15,252164.5,300170.5,358764.5,475849.55,527268.7
"Lagos","Alimosho",2079944.1189,1465968.4,1541959.45,1800234,2014101.5,2285089,2819279.45,3090932.85
"Lagos","Amuwo Odofin",377541.2873,284024.3,296227.3,333860.75,367006.5,408052.5,493519.25,529741.5
"Lagos","Apapa",271369.4581,181513.475,193519.35,230253.75,262526,302707.25,377837.3,408702.8
"Lagos","Badagry",663729.649,482254.65,506667.9,582507.25,645858,722243.5,878426.35,943145.925
"Lagos","Epe",202902.058,166677.475,171928.8,188280,200855.5,215246,239880.75,250226.5
"Lagos","Eti Osa",493328.1549,375632.55,392138.9,442284.5,482918.5,531893.5,629193.85,671115.225
"Lagos","Ibeju Lekki",302704.1231,251021.95,257799.05,280983.25,299069,321321,357376.55,372105.075
"Lagos","Ifako-Ijaye",297182.406,210603.65,221078.85,257812.75,288512,326724.75,398146.8,433548.9
"Lagos","Ikeja",307583.9476,222982.725,234220.1,269715.5,299768,336795.5,405064.45,436781.2
"Lagos","Ikorodu",1241907.3153,891911.175,934048.2,1083596.5,1206069,1353844,1669797.7,1789401.7
"Lagos","Kosofe",489892.8572,359328.525,376877.35,432268.75,478639.5,534111,638899.35,684718.925
"Lagos","Lagos Island",44729.8769,26489.95,28815.45,36212,42778.5,50833.25,67148.3,73879.8
"Lagos","Lagos Mainland",269611.8083,181846.25,192737.45,229640,261282.5,299869.5,373197.25,405987.7
"Lagos","Mushin",350625.5487,215876.625,232765.35,289611.25,338148.5,395560.5,512050.3,556514.1
"Lagos","Ojo",695867.6416,492006.725,521829.3,605070.5,673620,761034.75,941520.699999999,1015039.95
"Lagos","Oshodi-Isolo",557312.4779,389586.75,410339.15,482222,542716.5,613992.75,751632.25,810830.15
"Lagos","Shomolu",151658.4182,98184.475,105085.4,127617.5,146794,169663.75,212872.9,231933.3
"Lagos","Surulere",118282.3147,69839.8,75569.75,95543.5,112952.5,134939.25,178012.35,196889.075
"Nasarawa","Akwanga",100919.687,47032.825,56251.1,82872.75,98056.5,113950.75,153459.85,174524
"Nasarawa","Awe",181481.1166,84421.375,100926.7,148764.25,176065,205759.5,276404.8,314255.9
"Nasarawa","Doma",1051199.328,654849.35,716049.35,908179.75,1028931,1157978.5,1447163.2,1603431.3
"Nasarawa","Karu",715324.7288,501807.025,533707.55,631231.5,702987.5,780966.5,936325.65,1005325.85
"Nasarawa","Keana",114682.9795,53516.475,63361.85,93434.25,110903.5,130222,176076.85,201465.2
"Nasarawa","Keffi",191251.8254,118201.675,128082.7,161335,186672,213955,269374.45,297065.775
"Nasarawa","Kokona",232705.6638,128089.975,144969.45,197179.5,226958,258528.25,335668.4,377406.825
"Nasarawa","Lafia",238548.817,110996.075,132565.65,195368,231342,270081.25,363215.9,416082.175
"Nasarawa","Nasarawa Egon",59682.0206,27861.575,33295.55,48922.75,57851.5,67553,90646.4999999999,103259.5
"Nasarawa","Nasarawa",331586.5174,154705.125,184009.95,272034.5,321780,375016.75,505418.25,576133.275
"Nasarawa","Obi",255526.0245,119207.4,141592.65,209400,247528.5,289312,390981.65,447254.775
"Nasarawa","Toto",131405.2564,61576.05,73223.65,107863,127579.5,148609.75,199885.45,226755.725
"Nasarawa","Wamba",229804.4865,107678.725,128017.1,188746,223145.5,259634.5,350426.25,397969.6
"Niger","Agaie",101623.4442,43398.375,49771.5,73558.5,92181.5,118460,181790.7,210959.35
"Niger","Agwara",94013.5595,39804,45815.8,68053,85265,109688.5,168002.95,196082.425
"Niger","Bida",192094.2912,123422.425,132839.05,160950,183764,211445,278481.25,311746.775
"Niger","Borgu",346423.7272,180844.55,199063.85,266898.75,320631.5,394435,570146.4,657844.95
"Niger","Bosso",243502.3645,149893.625,160766.05,198993.5,230135,271206.5,367376.5,413916.4
"Niger","Chanchaga",373749.9565,267684.475,282329.95,329602,365105,407407.5,492736.25,530406.475
"Niger","Edati",46732.155,19860.95,22897.9,33919.25,42273.5,54493,83482.9,97550.85
"Niger","Gbako",149714.3601,64341.9,73959.3,109110.75,135662.5,173953.75,266231.1,311827.95
"Niger","Gurara",90065.9321,38403.825,44091.85,65175.75,81486,105078.25,160628.7,188305.175
"Niger","Katcha",156301.111,66931.425,76618.9,113509.5,141505.5,181812.5,278862.6,326672.625
"Niger","Kontagora",235330.715,153685.35,163240.5,196365.75,225030,260180.25,341047.95,378108.2
"Niger","Lapai",200332.5991,85611.925,97593.85,145186.5,180945.5,233304,358800.55,420843.525
"Niger","Lavun",192370.8039,81750.625,93781.2,138861.5,174273,223550.25,343891.75,401694.475
"Niger","Magama",296466.9599,126556.4,144535.6,214429.75,268889,345039,530710.8,620001.35
"Niger","Mariga",373467.9393,159215.65,182313.5,270608.75,338850,435652.75,668303.5,775215.324999999
"Niger","Mashegu",665585.148,283764.3,325155.6,482123.5,604276,774878,1193314.95,1385204.85
"Niger","Mokwa",249665.4491,106430.375,121570.55,180893.75,225962.5,290551,447993.1,525155.85
"Niger","Munya",87478.3836,37212.825,42649.35,63395.25,79042,101825,155827.1,182684.6
"Niger","Paikoro",209495.0342,90858.825,103793.45,152687.5,189751,243019.5,372040.8,434787.4
"Niger","Rafi",274147.6576,116805.4,133853.05,198886.75,248155.5,319194,489088.65,572265.8
"Niger","Rijau",216913.794,92613.25,106039.1,157186.75,196626.5,252274.25,387204.35,450214.35
"Niger","Shiroro",279214.1438,119300.1,136626.45,202688.75,252707,324404,497669.35,584897.074999999
"Niger","Suleja",378903.3349,256479.55,274806.8,330847.25,370053.5,416135.75,509800.3,553530.55
"Niger","Tafa",64666.1473,40787.625,43470.9,53649,61770.5,72068,94870.35,106444.525
"Niger","Wushishi",107715.4618,45855.125,52404.85,78173,97466.5,125306,192577.75,224727.725
"Ogun","Abeokuta North",480407.4367,334412.225,351006.05,416482.25,465641.5,526474.25,649639,703479.075
"Ogun","Abeokuta South",421468.1478,278138.675,295595.35,358662,407586.5,466071.5,587418.45,641766.975
"Ogun","Ado Odo-Ota",2181858.3981,1389171.9,1494661.8,1834489.5,2096976,2424228.5,3121443.1,3430929.95
"Ogun","Ewekoro",162392.4242,80679.975,93243,130010.75,152094.5,180295.75,267747.95,314712.375
"Ogun","Ifo",1702206.4222,1049607.775,1139810.65,1417524.25,1631071,1899980.5,2470897.2,2731702.725
"Ogun","Ijebu East",251168.8993,121564.925,142353.6,200025.25,235147.5,278861,416994.75,492531.1
"Ogun","Ijebu North East",71026.7435,40425.375,44940.65,58462.75,67230,78403.5,109499.9,126957.725
"Ogun","Ijebu North",324306.3666,202148.4,219525.45,273581.25,308966,354618,475768.05,544366.325
"Ogun","Ijebu Ode",276590.8744,190053.55,200049.45,238239,267931,303597.5,378891.05,411386.8
"Ogun","Ikenne",161192.2676,102128.325,110298,136380.5,154087.5,176885.75,234501.75,262093.125
"Ogun","Imeko Afon",124616.7659,56815.375,67756,97692.25,115996.5,139259.5,211227.5,251611.3
"Ogun","Ipokia",213243.5909,98911.6,116392.5,167596.5,198761,237754.5,360927.4,426804.95
"Ogun","Obafemi Owode",923165.1933,614255.25,658535.35,786957,891343,1022705.5,1286823.85,1415161.75
"Ogun","Odeda",306342.9261,201531.375,215196.3,259994.5,294900.5,337650.75,432008.55,479951.975
"Ogun","Odogbolu",257516.9667,170300.925,181696.65,218639,247533.5,282701.75,363536.35,400831.3
"Ogun","Ogun Waterside",60566.6031,27740.45,33050.15,47690,56451,67730.25,102189.2,121761.65
"Ogun","Remo North",71985.9284,33156.075,39364.8,56384.5,67025,80203.25,121812.45,144785
"Ogun","Shagamu",749083.3312,493725.775,529145.55,637824.5,722650,827405.25,1042874.9,1143259.25
"Ogun","Yewa North",359098.1154,165468.425,195681.55,282106.75,334325,400258.25,605870.399999999,721191.275
"Ogun","Yewa South",408282.2461,187496.55,219990.65,318858,379611.5,457454.75,692188.65,820033.324999999
"Ondo","Akoko North East",158926.0442,78227.875,92017.4,129444.5,151201,177341,251651.55,290055.95
"Ondo","Akoko North West",131582.9604,64958.175,76264.9,107102,125326,146740.5,207114.9,238904.025
"Ondo","Akoko South East",42489.843,20825.725,24563.85,34569.5,40546.5,47396,67189.1,77571.025
"Ondo","Akoko South West",157666.4123,77706.475,90984.85,128155.75,150261.5,175801.25,248541.95,287706.7
"Ondo","Akure North",295888.966,145884.925,170613.45,240906.25,281842.5,330529,465085.45,540055.675
"Ondo","Akure South",628879.3949,304264.875,361009.2,506553,597345.5,707542,995171.349999998,1160587.1
"Ondo","Ese Odo",82564.181,40647.325,47711.7,67396.5,78729.5,92148,130175.05,150927.4
"Ondo","Idanre",195789.497,96517.175,112917.8,159923.25,186808.5,218261.75,307636.85,357741.475
"Ondo","Ifedore",487590.6749,239064.075,280049.55,394814.75,463844,545935,770871.25,897084.775
"Ondo","Ilaje",181092.4281,88899.475,104673.35,147950.25,172719,201925,285093.95,330367.575
"Ondo","Ile Oluji-Okeigbo",318441.3199,157131.025,183330.05,259429,303589,355272.5,500329.3,580967.45
"Ondo","Irele",129109.431,63084.05,74495.2,105257.75,122985,144063.5,203755.5,234732.775
"Ondo","Odigbo",313697.4267,154516.175,181416.5,255877.5,299079,349539.25,495738.6,572006.124999999
"Ondo","Okitipupa",220973.6764,108766.95,127416.75,179762,210493,246547.5,350290.1,403364.45
"Ondo","Ondo East",30143.2331,14912.75,17365.85,24538,28688,33675.75,47468.45,55141.5
"Ondo","Ondo West",247654.2394,121491.275,142333.2,200850.25,235752.5,276795.25,390045.1,453194.625
"Ondo","Ose",149099.1579,73206.85,86206.55,121683.25,142140,166416.25,233909.1,271898.075
"Ondo","Owo",322048.5146,158916.85,185784.9,262528.5,306729.5,359393.5,505976.7,586478.3
"Osun","Atakunmosa East",62425.1518,30755.325,35971,50771.5,59554.5,69775.25,98112,114574.375
"Osun","Atakunmosa West",80596.676,40731.725,47786.45,66059,76996.5,89686,125189.4,145049.025
"Osun","Ayedade",168276.297,82978.675,97392,137193,160493.5,187963,263744.55,305593.125
"Osun","Ayedire",81930.2361,58408,61834.3,72351.75,79918.5,89374.75,107821.3,116481.225
"Osun","Boluwaduro",55667.3489,28903.525,33463.35,45823.75,53197.5,61825,85589.2499999999,98467.8749999999
"Osun","Boripe",217356.1805,151695.225,160424.9,190790.25,212470.5,238160.5,287647.6,314718.975
"Osun","Ede North",123142.6297,84823.65,90297.95,107369,119976,134966.25,165771.2,179554.825
"Osun","Ede South",132007.7409,94135.8,99264.85,116466.25,129197.5,144300.75,173396.6,186865.6
"Osun","Egbedore",258518.0427,178706.25,190895.8,226508.75,252278.5,284205.75,342778.6,375430.325
"Osun","Ejigbo",154442.7162,108896.625,115188.65,135809.25,150862,168363,205034,223098
"Osun","Ife Central",177299.6898,123911.425,131431.9,155172.75,173048.5,193644.25,236164.4,257811.225
"Osun","Ife East",447689.4668,304776.95,325422,389664,435678.5,490857.5,602953.45,663909.45
"Osun","Ife North",125852.2472,62368.175,72728.6,102663.5,119898.5,140214.5,196994.55,228245.375
"Osun","Ife South",137428.9051,67717.675,79402.9,112015.5,131188,153626.5,216020.5,250899.3
"Osun","Ifedayo",24143.4722,11876.65,13921.5,19655.75,23005.5,26956.5,38268.2,43979.15
"Osun","Ifelodun",133773.669,93884.95,99997.75,117409,131062.5,146403.25,176531.55,191059.625
"Osun","Ila",105478.0964,74150.45,78299.9,92536.75,103078,115640,139119.75,150621.05
"Osun","Ilesha East",212828.0633,149416.35,158902.9,187195.75,207966,232977.5,281117.35,304530.45
"Osun","Ilesha West",293358.9551,201321.15,214306.25,255197.75,286345.5,322044.25,396810.85,432656.3
"Osun","Irepodun",252.3734,115,136,195,237,290,415,485
"Osun","Irewole",163152.9011,115034.125,121080.05,142923.5,159146.5,178174.75,217757.1,235486.925
"Osun","Isokan",105830.7954,75279.4,78864,92849.75,103190,115689.5,140358.45,151387.6
"Osun","Iwo",314403.1672,215664.75,228618.25,272927.75,306731,345149.5,423226.55,464858
"Osun","Obokun",116153.1403,57434.95,67177.35,94694.5,110691,129602.5,182856.3,212098.8
"Osun","Odo Otin",157932.853,107979,115214.3,137994.25,153737,171915.75,214086.05,234760.875
"Osun","Ola Oluwa",57148.2376,28281.875,33084.95,46511,54511.5,63833.25,89549.2,103999.775
"Osun","Olorunda",283263.6037,201286.95,211986.5,249177,277003,309841.5,373341.45,403519.025
"Osun","Oriade",161227.8086,79138.65,93178.75,131270.25,153779,179733.75,253148.8,293982.525
"Osun","Orolu",127308.5249,87239.825,92866.6,110663.75,123993.5,139693,172055.25,187527.775
"Osun","Osogbo",268329.5385,179428.7,192918.6,232816.75,261042.5,295186.75,363810,398129.325
"Oyo","Afijio",124193.2962,99645,103128.5,114096.5,122277.5,132074,152067.8,160849.325
"Oyo","Akinyele",466424.4162,364607.35,379521,426774.75,462324,500397.25,568173.95,593419.7
"Oyo","Atiba",85458.0059,69976.775,72252.35,79111.75,84569,90696.5,101916.45,106203.2
"Oyo","Atisbo",98580.9121,76045.375,79812.25,90445,97432,105533.25,120755,127360.575
"Oyo","Egbeda",668543.0925,455027.475,486245,594844.25,666994.5,737509.75,853734.45,899400.6
"Oyo","Ibadan North East",367239.7494,247732.7,267206.45,321147,360843.5,406743.25,485355.55,522613.825
"Oyo","Ibadan North West",103405.5133,72131.85,76050,88557,99730,113618,143207.1,156339.1
"Oyo","Ibadan North",138047.5151,100339.875,105764.8,121813.75,134795,150865,181032.9,191621.4
"Oyo","Ibadan South East",230667.9071,166671.85,174985.15,204261.5,226339.5,251803.75,299813.45,318655.35
"Oyo","Ibadan South West",261598.0926,191734.725,200896.25,232747.75,256894.5,285972.25,336069.45,356016.35
"Oyo","Ibarapa Central",77305.3312,57111.5,61005.6,70501.75,76722,83290.75,95578.8,100909.425
"Oyo","Ibarapa East",97181.8493,75863.65,79451.65,89307.75,96227,103862,118624.85,124676.175
"Oyo","Ibarapa North",78839.6793,60958.85,63711.95,71767,77214,84053.5,98972.0999999999,107016.45
"Oyo","Ido",531508.5826,435055.25,448660.55,492885.5,525545.5,563986,631545.6,659960.975
"Oyo","Irepo",83762.3396,64038.7,66497.45,74954.25,81624,90101.75,107909.5,117833.7
"Oyo","Iseyin",279277.0715,206972.5,218250.95,255294.75,278603,302263.25,341472.2,356197.475
"Oyo","Itesiwaju",58569.7028,44504.95,47010.85,53531.25,57882,62844.5,72423.95,76855.05
"Oyo","Iwajowa",79102.9911,61423.725,64161.6,71906,77475.5,84336,99349.1,106515.225
"Oyo","Kajola",89013.0774,67625.375,71632.95,81565.75,88154.5,95407.25,108943.45,114953.55
"Oyo","Lagelu",564982.121,453606.9,470982.3,521836.75,560181.5,602299.5,674494.15,705772.575
"Oyo","Ogbomosho North",281077.3965,224345.425,232586.75,258226,277596,299761,341108.1,357872.45
"Oyo","Ogbomosho South",157331.0128,120491.625,125834.6,142498.5,155175,169476.25,196172.75,206480.4
"Oyo","Ogo Oluwa",62500.1543,47434.7,50134.8,57063.75,61733.5,67079.25,77300.4,82023.025
"Oyo","Olorunsogo",70640.7478,53259.95,56052.9,64348.75,69899,75933.5,87809.05,94326.025
"Oyo","Oluyole",449083.4721,347451.1,360985.7,403291.75,439098,483429.25,570791.6,605939.925
"Oyo","Ona ara",286940.3863,211246.1,219760.75,252513.5,279252.5,312551.75,378796.1,407205.825
"Oyo","Orelope",84976.4859,63632.45,67106.4,77174.5,83759.5,91211.75,106611.25,114111.2
"Oyo","Ori Ire",134256.6151,107166.8,110965.95,122678,131649,142808,166390.15,177419.025
"Oyo","Oyo East",54995.8172,41376.6,43467.7,49475,54114,59497.25,69394,73352.475
"Oyo","Oyo West",359851.8343,286743.95,296280.55,328487,354326,384631.75,443039.35,467082.55
"Oyo","Saki East",67689.8475,51992.4,54589.3,61671,66437.5,72302.25,84863,91176.025
"Oyo","Saki West",345995.7826,262693.1,277393.9,317733,344276.5,372786.5,419581.35,435788.65
"Oyo","Surulere",83792.3138,65914.775,68344.5,76434.75,82267.5,89241.25,103908.85,111866.675
"Plateau","Barkin Ladi",164746.9802,79126.6,89055.3,122995.25,151811.5,191721.25,281687.5,327203.45
"Plateau","Bassa",156916.9571,84430.875,92461.55,121718.5,145916.5,179654.25,254468.9,292073.35
"Plateau","Bokkos",207532.9151,99561.925,112267.6,154236.25,191227.5,241869,356068.95,410472.525
"Plateau","Jos East",39962.1055,19188.75,21532.75,29762.5,36788.5,46544,68350.35,79638.825
"Plateau","Jos North",591220.0381,423942,446114.85,518735.75,575625,644582.75,780317.35,845617.95
"Plateau","Jos South",638303.9279,450109.95,477597.75,556665.75,622059.5,700474.25,848668.85,919541.775
"Plateau","Kanam",147705.7514,79771.325,87355.7,113942.25,139196,170475.5,239230.15,267388.325
"Plateau","Kanke",78068.0958,37532.95,42132.9,58053.25,71955.5,91134,133426.95,154465.05
"Plateau","Langtang North",176966.6896,84936.375,95759.95,131262.5,163242.5,206486.25,304337.8,352243.4
"Plateau","Langtang South",119852.4549,57606.075,64694.3,89117.25,110564.5,139651,205470.7,236860.025
"Plateau","Mangu",255320.0747,122167.475,137561.45,189734.25,235305.5,297483.25,437637.7,506337.8
"Plateau","Mikang",79835.586,38298.8,43092.15,59461.25,73692.5,93209.5,136451.55,157645.625
"Plateau","Pankshin",145838.7101,70054.275,78663.35,108326.75,134412,169926.25,250243.35,288532.875
"Plateau","Qua'an Pan",243570.3054,116905.1,131772.4,181092,225080,283825,416735.65,481025.525
"Plateau","Riyom",89838.8039,43143.525,48650.3,67037.25,82901.5,104508.75,153457.2,176721.475
"Plateau","Shendam",288083.6957,138080.625,155734.75,214046,265983,336314.25,493883,569170.2
"Plateau","Wase",215512.0893,103498.05,116367.7,160440.5,199122.5,251056.75,368053.45,427692.225
"Rivers","Abua-Odual",79308.2319,32532.55,37920.85,59166,73652.5,91498,138733.05,166753.575
"Rivers","Ahoada East",229578.8606,117510.35,131468.4,181232,216354.5,259315.75,370050.15,434722.825
